First Level,Second Level,Third Level
PREFACE.............................................................................................................................................25,,
,ORIGIN OF THE ROMAN CATECHISM..........................................................................................25,
,AUTHORITY AND EXCELLENCE OF THE ROMAN CATECHISM ...............................................26,
CATECHISM OF THE COUNCIL OF TRENT FOR PARISH PRIESTS..............................................29,,
INTRODUCTORY.................................................................................................................................29,,
,The Necessity Of Religious Instruction .........................................................................................29,
,Need of an Authoritative Catholic Catechism................................................................................29,
,The Nature of this Work ................................................................................................................30,
,The Ends of Religious Instruction..................................................................................................30,
,Knowledge Of Christ .....................................................................................................................31,
,Observance Of The Commandments ...........................................................................................31,
,Love Of God..................................................................................................................................31,
,The Means Required for Religious Instruction..............................................................................31,
,Instruction Should Be Accommodated To The Capacity Of The Hearer ......................................32,
,Zeal................................................................................................................................................32,
,Study Of The Word Of God...........................................................................................................32,
,Division of this Catechism .............................................................................................................32,
,How This Work Is To Be Used ......................................................................................................33,
PART I : THE CREED..........................................................................................................................33,,
,Faith..................................................................................................................................................33,
,Necessity Of Faith.............................................................................................................................33,
,Unity Of Faith....................................................................................................................................33,
,The Creed.........................................................................................................................................34,
,Division Of The Creed.......................................................................................................................34,
,"ARTICLE I : ""I BELIEVE IN GOD, THE FATHER ALMIGHTY, CREATOR OF HEAVEN AND",
,,"EARTH""............................................................................................................................................34"
,,Meaning Of This Article.................................................................................................................34
,,"""I Believe""......................................................................................................................................35"
,,Faith Excludes Doubt ....................................................................................................................35
,,Faith Excludes Curiosity................................................................................................................35
,,3Faith Requires Open Profession ...................................................................................................35
,,"""In God"".........................................................................................................................................36"
,,Knowledge Of God More Easily Obtained Through Faith Than Through Reason........................36
,,Knowledge Of God Obtained Through Faith Is Clearer ................................................................36
,,Knowledge Of God Obtained Through Faith Is More Certain.......................................................36
,,Knowledge Of God Obtained Through Faith Is More Ample And Exalted....................................37
,,The Unity Of Nature In God...........................................................................................................37
,,The Trinity Of Persons In God.......................................................................................................37
,,"""The Father""..................................................................................................................................38"
,,God Is Called Father Because He Is Creator And Ruler ..............................................................38
,,God Is Called Father Because He Adopts Christians Through Grace..........................................38
,,The Name Father Also Discloses The Plurality Of Persons In God..............................................38
,,The Doctrine Of The Trinity...........................................................................................................38
,,Practical Admonitions Concerning The Mystery Of The Trinity ....................................................39
,,"""Almighty""......................................................................................................................................39"
,,"Meaning Of The Term Almighty"" ...................................................................................................39"
,,Why Omnipotence Alone Is Mentioned In The: Creed..................................................................40
,,Advantages Of Faith In God’s Omnipotence.................................................................................40
,,Not Three Almighties But One Almighty........................................................................................41
,,"""Creator""........................................................................................................................................41"
,,"""Of Heaven and Earth"" ..................................................................................................................41"
,,Creation Of The World Of Spirits...................................................................................................41
,,Formation Of The Universe...........................................................................................................42
,,Production Of Man ........................................................................................................................42
,,"""Of all Things Visible and Invisible""...............................................................................................42"
,,"God Preserves, Rules And Moves All Created Things .................................................................42"
,,Creation Is The Work Of The Three Persons................................................................................43
,"ARTICLE II : ""AND IN JESUS CHRIST, HIS ONLY SON, OUR LORD""........................................43",
,,Advantages Of Faith In This Article...............................................................................................43
,,Necessity Of Faith In This Article ..................................................................................................44
,,"""Jesus""...........................................................................................................................................44"
,,"""Christ""...........................................................................................................................................45"
,,"""His Only Son""...............................................................................................................................46"
,,"""Our Lord""......................................................................................................................................46"
,,Duties Owed To Christ Our Lord...................................................................................................47
,"ARTICLE III : ""WHO WAS CONCEIVED BY THE HOLY GHOST, BORN OF THE VIRGIN MARY""",
,,..........................................................................................................................................................47
,,Importance Of This Article.............................................................................................................48
,,"First Part of this Article: ""Who was Conceived,'................................................................................48"
,,"""By the Holy Ghost"".......................................................................................................................48"
,,"In The Incarnation Some Things Were Natural, Others Supernatural ..........................................49"
,,How To Profit By The Mystery Of The Incarnation........................................................................49
,,"Second Part Of This Article: ""Born Of The Virgin Mary"" ...............................................................50"
,,The Nativity Of Christ Transcends The Order Of Nature ..............................................................50
,,"Christ Compared to Adam"" Mary to Eve .......................................................................................50"
,,Types and Prophecies of the Conception and Nativity .................................................................50
,,Lessons which this Article Teaches ..............................................................................................51
,,Humility And Poverty Of Christ......................................................................................................51
,,Elevation And Dignity Of Man .......................................................................................................51
,,Duty Of Spiritual Nativity ...............................................................................................................51
,"ARTICLE IV : ""Suffered Under Pontius Pilate, Was Crucified, Dead, And Buried'"".................52",
,,Importance Of This Article.............................................................................................................52
,,"First Part of this Article: '""Suffered Under Pontius Pilate, was Crucified”,.....................................52"
,,"4""Suffered,"".....................................................................................................................................52"
,,"""Under Pontius Pilate"" ...................................................................................................................52"
,,"""Was Crucified""..............................................................................................................................53"
,,Importance Of The History Of The Passion ..................................................................................53
,,Figures And Prophecies Of The Passion And Death Of The Saviour...........................................53
,,"Second Part Of This Article: ""Dead, And Buried""..........................................................................54"
,,Christ Really Died..........................................................................................................................54
,,Christ Died Freely..........................................................................................................................54
,,The Thought Of Christ's Death Should Excite Our Love And Gratitude .......................................54
,,Christ Was Really Buried ..............................................................................................................55
,,Circumstances Of Christ’s Burial...................................................................................................55
,,Useful Considerations on the Passion ..........................................................................................55
,,The Dignity Of The Sufferer ..........................................................................................................55
,,Reasons Why Christ Suffered.......................................................................................................56
,,Christ Was Delivered Over To Death By The Father And By Himself ..........................................56
,,The: Bitterness Of Christ's Passion...............................................................................................56
,,Fruits Of Christ's Passion..............................................................................................................57
,,"Christ’s Passion, -- A Satisfaction, A Sacrifice, A Redemption An Example ................................57"
,,Admonition.....................................................................................................................................58
,"ARTICLE V : ""HE DESCENDED INTO HELL, THE THIRD DAY HE ROSE AGAIN FROM THE",
,,"DEAD""..............................................................................................................................................58"
,,"this Article: ""He Descended into Hell""........................................................................58"
,,The Just .....................................................................................................................60
,,Of The: Resurrection.................................................................................................63
,"ARTICLE VI : ""HE ASCENDED INTO HEAVEN, SITTETH AT THE RIGHT HAND OF GOD THE",
,,"FATHER ALMIGHTY""......................................................................................................................64"
,,Importance Of This Article.............................................................................................................64
,,"First Part of this Article: ""He Ascended into Heaven""....................................................................64"
,,"""Into Heaven"".................................................................................................................................64"
,,"""He Ascended"" ..............................................................................................................................64"
,,"Second Part of this Article: ""Sitteth at the Right Hand of God the Father Almighty"".....................65"
,,"""At the Right Hand"" .......................................................................................................................65"
,,"""Sitteth""..........................................................................................................................................65"
,,Reflections on the Ascension:.......................................................................................................65
,,Its History.......................................................................................................................................65
,,Greatness Of This Mystery............................................................................................................65
,,Reasons Of The Ascension...........................................................................................................66
,,Results Of The Ascension.............................................................................................................66
,,Virtues Promoted By The Ascension. ...........................................................................................67
,,Importance Of This Article.............................................................................................................58
,,"First Part of ""Hell""..............................................................................................................................................59"
,,"Different Abodes Called Hell""........................................................................................................59"
,,"""He Descended"" ............................................................................................................................59"
,,Why He Descended into Hell ........................................................................................................60
,,To Liberate To Proclaim His Power..................................................................................................................60
,,"Second Part of this Article: ""The Third Day He arose again from the Dead""................................60"
,,"""He arose Again"" ...........................................................................................................................61"
,,"""From the Dead""............................................................................................................................61"
,,"""The Third Day"" .............................................................................................................................61"
,,"""According to the Scriptures"".........................................................................................................62"
,,Three Useful Considerations on this Article..................................................................................62
,,Necessity Of The Resurrection .....................................................................................................62
,,Ends Of The Resurrection.............................................................................................................63
,,Advantages Signs Of Spiritual Resurrection .....................................................................................................63
,,5The Ascension Benefits The Church And The Individual..............................................................67
,"ARTICLE VII : ""FROM THENCE HE SHALL COME TO JUDGE THE LIVING AND THE DEAD"" 68",
,,Meaning Of This Article.................................................................................................................68
,,"""From Thence He Shall Come"" .....................................................................................................68"
,,"""To Judge the Living and the Dead""..............................................................................................68"
,,Two Judgments .............................................................................................................................68
,,Reasons For General Judgment ...................................................................................................69
,,This Truth has Rightly been made an Article of the Creed ...........................................................69
,,Circumstances of the Judgment:...................................................................................................70
,,The Judge......................................................................................................................................70
,,Signs Of The General Judgment...................................................................................................70
,,The Sentence Of The Just ............................................................................................................70
,,The Sentence Of The Wicked .......................................................................................................71
,,Importance of Instruction on this Article ........................................................................................71
,"ARTICLE VIII : ""I BELIEVE IN THE HOLY GHOST"" ......................................................................72",
,,Importance Of This Article.............................................................................................................72
,,"""Holy Ghost""..................................................................................................................................72"
,,"""I Believe in the Holy Ghost"" .........................................................................................................73"
,,The Holy Ghost Is Equal To The Father And The Son .................................................................73
,,The Holy Ghost Is Distinct From The Father And The Son ..........................................................73
